"행정구역(시군구)별",2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"서울특별시",1733015,1848038,-115023,520345,679363,679363,533307,648330,1721748,1834806,-113058,543807,671315,671315,506626,619684,1555281,1658928,-103647,473458,595842,595842,485981,589628,1520090,1620640,-100550,468394,584614,584614,467082,567632,1573594,1661425,-87831,495401,602622,602622,475571,563402,1589431,1726687,-137256,524267,605262,605262,459902,597158,1515602,1655859,-140257,487722,574193,574193,453687,593944,1472937,1571423,-98486,454536,564271,564271,454130,552616,1439707,1549937,-110230,430780,548796,548796,460131,570361,1426493,1476081,-49588,406796,543831,543831,475866,525454,1578127,1642977,-64850,444682,623431,623431,510014,574864,1418187,1524430,-106243,387416,569648,569648,461123,567366
"종로구",29208,32928,-3720,5703,14256,17822,9249,9403,28329,30663,-2334,5551,14089,16214,8689,8898,26001,29398,-3397,4935,12530,15681,8536,8782,24676,30007,-5331,4921,11803,16405,7952,8681,24191,27484,-3293,4507,11243,14657,8441,8320,24951,27470,-2519,4617,11846,14426,8488,8427,23604,26386,-2782,4145,11135,13913,8324,8328,28020,25814,2206,4512,14610,13178,8898,8124,23187,24798,-1611,3807,11098,12793,8282,8198,22271,23945,-1674,3443,10560,12982,8268,7520,23632,25254,-1622,3355,11704,13881,8573,8018,22204,24428,-2224,3223,11004,13008,7977,8197
"중구",23524,24766,-1242,4296,12336,13273,6892,7197,23613,23618,-5,4383,12710,12349,6520,6886,24872,25198,-326,4832,13064,13252,6976,7114,19191,22508,-3317,3608,9623,12152,5960,6748,20105,22972,-2867,3967,10018,12323,6120,6682,20078,22950,-2872,4070,10073,12126,5935,6754,20595,21655,-1060,3844,10582,11618,6169,6193,20904,20574,330,3338,11189,11319,6377,5917,20771,20873,-102,3424,10733,11100,6614,6349,19623,19384,239,3191,9912,10464,6520,5729,20777,21733,-956,3290,10760,11997,6727,6446,19917,21126,-1209,3015,10378,11274,6524,6837
"용산구",40673,44770,-4097,9341,18295,20165,13037,15264,45054,44509,545,10048,20960,19444,14046,15017,36702,41248,-4546,8504,16106,18001,12092,14743,34935,39623,-4688,8140,15304,17614,11491,13869,35618,40635,-5017,8454,15452,18266,11712,13915,37064,41361,-4297,9049,16549,18532,11466,13780,34124,38615,-4491,7881,14917,17371,11326,13363,35154,36622,-1468,7302,16054,16866,11798,12454,37339,37801,-462,7853,16999,16873,12487,13075,35099,35673,-574,6998,15746,16435,12355,12240,40282,38985,1297,7599,19374,18523,13309,12863,36011,39572,-3561,7113,16799,18922,12099,13537
"성동구",46630,52843,-6213,11055,21479,24862,14096,16926,46631,56542,-9911,13129,20378,26901,13124,16512,48010,50610,-2600,12882,21433,22444,13695,15284,45399,47356,-1957,11302,21032,21460,13065,14594,46521,51349,-4828,12336,21559,23717,12626,15296,48105,49091,-986,12008,23324,21935,12773,15148,47629,46986,643,11320,23322,20542,12987,15124,50416,46031,4385,11151,25046,20756,14219,14124,51358,49012,2346,12243,24275,22031,14840,14738,39922,48102,-8180,8737,17927,24606,13258,14759,45153,53096,-7943,10312,20969,26826,13872,15958,39831,46075,-6244,7867,19106,22939,12858,15269
"광진구",63624,69973,-6349,18517,24714,26928,20393,24528,62574,68014,-5440,18762,24587,26394,19225,22858,58688,61194,-2506,17181,22632,22889,18875,21124,56235,60597,-4362,16772,21261,23081,18202,20744,56778,64189,-7411,18540,20616,24713,17622,20936,58871,63920,-5049,18401,22949,23570,17521,21949,55362,60446,-5084,16943,21257,21770,17162,21733,56010,56647,-637,16364,22011,20936,17635,19347,55728,58774,-3046,17036,21274,21447,17418,20291,52191,57088,-4897,14861,19378,22499,17952,19728,55926,60703,-4777,15474,21585,24944,18867,20285,51522,56750,-5228,13736,20048,22708,17738,20306
"동대문구",57780,61558,-3778,15897,24186,25651,17697,20010,57586,60047,-2461,16392,24043,24460,17151,19195,51643,54915,-3272,13798,20956,22422,16889,18695,56066,56084,-18,16464,22709,21505,16893,18115,57915,59658,-1743,18216,23219,22990,16480,18452,55990,60917,-4927,17367,22257,23826,16366,19724,49591,55622,-6031,14207,19652,22181,15732,19234,47899,52733,-4834,13489,18879,21618,15531,17626,54899,57605,-2706,15918,21820,22741,17161,18946,51660,53660,-2000,14093,20655,22474,16912,17093,54908,58135,-3227,14233,22290,24953,18385,18949,48955,51031,-2076,10881,20389,21435,17685,18715
"중랑구",69532,75310,-5778,27296,24441,22713,17795,25301,65150,70397,-5247,25683,22676,22123,16791,22591,60157,66109,-5952,23447,20288,20098,16422,22564,61677,65539,-3862,24314,21331,19517,16032,21708,69157,68497,660,27759,25390,19459,16008,21279,64638,71284,-6646,27773,22351,20339,14514,23172,60566,64823,-4257,24608,21351,17417,14607,22798,56385,59947,-3562,22111,20569,16619,13705,21217,54168,59616,-5448,20671,19406,16476,14091,22469,49446,55932,-6486,18412,17726,17050,13308,20470,60214,62212,-1998,22003,23717,18719,14494,21490,52867,57957,-5090,19004,20585,17493,13278,21460
