,경기도시,2019년 아파트가격,2020년 아파트가격,2021년 아파트가격,2019년 아파트거래량,2020년 아파트거래량,2021년 아파트거래량
0,수원시,311484,396809,499071,30513.0,51903.0,30244.0
1,성남시,736353,883722,1008313,23780.0,19236.0,13196.0
2,의정부시,232333,240875,330000,15351.0,16435.0,12411.0
3,안양시,444364,507285,622496,15941.0,16112.0,15317.0
4,부천시,314625,336500,446958,16471.0,17181.0,10733.0
5,광명시,475916,585666,701333,6620.0,10638.0,6006.0
6,평택시,175750,178583,229833,24648.0,28252.0,22482.0
7,동두천시,139541,137083,188291,1400.0,2530.0,3205.0
8,안산시,248243,272931,388925,11991.0,22059.0,10236.0
9,고양시,332344,367903,497836,23319.0,32680.0,17961.0
10,과천시,1112500,1258958,1495583,5110.0,4137.0,2794.0
11,구리시,418458,528083,642291,3050.0,4240.0,2471.0
12,남양주시,271250,279791,421291,25441.0,22550.0,12140.0
13,오산시,189041,203958,313666,7878.0,8908.0,12309.0
14,시흥시,217000,237708,332375,20765.0,31623.0,11053.0
15,군포시,337791,385208,489708,4219.0,8141.0,5181.0
16,의왕시,383791,440541,611884,7635.0,5451.0,3534.0
17,하남시,545416,709583,879166,12658.0,9712.0,6706.0
18,용인시,383517,428304,587185,32942.0,33970.0,24788.0
19,파주시,234416,249833,337250,9202.0,20591.0,16147.0
20,이천시,165458,169333,187458,3991.0,3599.0,6519.0
21,안성시,125291,126416,156083,3686.0,6671.0,9731.0
22,김포시,308166,350416,466791,22536.0,23291.0,8485.0
23,화성시,272916,357666,505458,44214.0,37359.0,28615.0
24,광주시,252875,263833,379333,8402.0,9419.0,7757.0
25,양주시,173208,180166,247291,5722.0,20658.0,11577.0
26,포천시,147416,139041,155750,940.0,1805.0,4171.0
27,여주시,120458,117041,127333,1708.0,3864.0,3072.0
