경기도시군별,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
수원시,15145.0,22405.0,19063.0,25181.0,29368.0,28166.0,25618.0,30907.0,32057.0,30513.0,51903.0,30244.0
화성시,11450.0,10891.0,6803.0,10027.0,15284.0,33748.0,27527.0,36493.0,50722.0,44214.0,37359.0,28615.0
용인시,19695.0,16433.0,13371.0,20502.0,22462.0,25813.0,22529.0,31608.0,53362.0,32942.0,33970.0,24788.0
평택시,7032.0,10013.0,6441.0,8353.0,8497.0,11936.0,15683.0,19535.0,23991.0,24648.0,28252.0,22482.0
고양시,14540.0,19297.0,14425.0,20213.0,20453.0,26925.0,26771.0,27957.0,25831.0,23319.0,32680.0,17961.0
파주시,11358.0,5208.0,6098.0,7192.0,6857.0,10750.0,8294.0,8817.0,18161.0,9202.0,20591.0,16147.0
안양시,7094.0,8467.0,7485.0,8204.0,10995.0,13113.0,13564.0,12843.0,18237.0,15941.0,16112.0,15317.0
성남시,9226.0,8923.0,6141.0,10470.0,13017.0,15291.0,21524.0,23781.0,13446.0,23780.0,19236.0,13196.0
의정부시,3282.0,4990.0,3785.0,6360.0,7802.0,10557.0,9784.0,19177.0,12455.0,15351.0,16435.0,12411.0
오산시,6216.0,6291.0,2520.0,4302.0,4376.0,4734.0,3965.0,8273.0,6530.0,7878.0,8908.0,12309.0
남양주시,13641.0,10917.0,12670.0,11722.0,13692.0,17428.0,13606.0,19578.0,26817.0,25441.0,22550.0,12140.0
양주시,4272.0,3385.0,2596.0,2565.0,3883.0,4854.0,4626.0,7549.0,9257.0,5722.0,20658.0,11577.0
시흥시,5744.0,7355.0,5133.0,7030.0,9396.0,11650.0,15818.0,17701.0,24409.0,20765.0,31623.0,11053.0
부천시,6548.0,10484.0,6846.0,8249.0,10927.0,14998.0,15255.0,15199.0,17189.0,16471.0,17181.0,10733.0
안산시,5248.0,7713.0,5269.0,7178.0,8923.0,9608.0,8493.0,17692.0,10825.0,11991.0,22059.0,10236.0
안성시,4920.0,4255.0,2944.0,2302.0,2612.0,3538.0,5245.0,3843.0,6887.0,3686.0,6671.0,9731.0
김포시,3510.0,8477.0,8771.0,11538.0,12016.0,11483.0,13323.0,24261.0,27556.0,22536.0,23291.0,8485.0
광주시,2913.0,4246.0,1894.0,2197.0,2624.0,4028.0,6220.0,9641.0,10386.0,8402.0,9419.0,7757.0
하남시,1087.0,1606.0,1566.0,2769.0,5278.0,9927.0,18164.0,10186.0,14236.0,12658.0,9712.0,6706.0
이천시,4596.0,3842.0,2824.0,2625.0,3082.0,3699.0,3865.0,4574.0,3912.0,3991.0,3599.0,6519.0
양평군,1561.0,595.0,663.0,524.0,466.0,606.0,1075.0,1354.0,721.0,964.0,1971.0,6009.0
광명시,8393.0,6487.0,2602.0,4730.0,5798.0,6516.0,6445.0,8037.0,10140.0,6620.0,10638.0,6006.0
군포시,4911.0,5208.0,3594.0,4774.0,7058.0,6761.0,5684.0,6199.0,7164.0,4219.0,8141.0,5181.0
포천시,2769.0,1105.0,877.0,1033.0,1120.0,1200.0,1138.0,1872.0,1485.0,940.0,1805.0,4171.0
의왕시,1878.0,2654.0,2603.0,2682.0,3214.0,3169.0,2739.0,6010.0,6087.0,7635.0,5451.0,3534.0
동두천시,1963.0,2310.0,1885.0,1797.0,1720.0,2462.0,3357.0,1759.0,1960.0,1400.0,2530.0,3205.0
여주시,833.0,1820.0,1910.0,920.0,2061.0,1653.0,1377.0,916.0,1055.0,1708.0,3864.0,3072.0
과천시,356.0,362.0,474.0,570.0,690.0,1033.0,1107.0,964.0,4966.0,5110.0,4137.0,2794.0
구리시,1558.0,2488.0,1468.0,2187.0,2697.0,4503.0,5727.0,6095.0,6429.0,3050.0,4240.0,2471.0
가평군,228.0,224.0,634.0,306.0,530.0,529.0,343.0,358.0,586.0,347.0,686.0,2234.0
연천군,391.0,166.0,314.0,140.0,162.0,203.0,204.0,225.0,407.0,202.0,247.0,908.0
