,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
수원시,223279,218183,232548,254323,267236,275195,296356,311484,396809,499071
성남시,484754,452339,459503,487148,510663,533477,644188,736353,883722,1008313
의정부시,197583,188750,187916,194583,201750,206166,231958,232333,240875,330000
안양시,308162,289657,297884,324310,339863,351472,402311,444364,507285,622496
부천시,240015,229261,240441,251803,262430,266541,293958,314625,336500,446958
광명시,295125,286125,300875,346000,373875,379458,399750,475916,585666,701333
평택시,155666,158916,172125,178458,182833,188541,176500,175750,178583,229833
동두천시,134625,122583,124500,124833,127541,132250,143666,139541,137083,188291
안산시,229958,223637,231115,252408,264743,268677,271497,248243,272931,388925
고양시,262284,245070,255616,269753,282028,291520,316249,332344,367903,497836
과천시,608333,563333,611750,637583,697666,755666,862291,1112500,1258958,1495583
구리시,277416,261125,266000,281958,295583,304000,379583,418458,528083,642291
남양주시,220416,210708,213208,223375,236416,241291,263458,271250,279791,421291
오산시,200000,202083,207625,212708,216333,214875,191041,189041,203958,313666
시흥시,170583,163208,167708,179500,189083,195708,208083,217000,237708,332375
군포시,276208,259916,263416,284500,301875,307166,334541,337791,385208,489708
의왕시,288583,284583,304083,323916,337083,343333,380166,383791,440541,611884
하남시,273958,259541,270708,303583,329541,349208,438250,545416,709583,879166
용인시,330282,310210,317778,332279,346459,345664,360387,383517,428304,587185
파주시,210458,198000,204375,211916,220583,228875,242833,234416,249833,337250
이천시,137416,138812,147583,162541,172625,171000,167333,165458,169333,187458
안성시,115750,127583,132875,138541,137875,134833,120416,125291,126416,156083
김포시,219500,203125,224666,258250,281625,283041,295250,308166,350416,466791
화성시,231250,221041,227041,236833,246750,261791,264083,272916,357666,505458
광주시,215750,209541,211166,220583,225041,229333,235333,252875,263833,379333
양주시,165083,151916,145166,150416,159791,165666,169666,173208,180166,247291
포천시,138158,136250,137041,140708,137375,127916,139500,147416,139041,155750
여주시,145083,145041,138875,146666,150916,151541,132416,120458,117041,127333
