행정구역(시군구)별,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
가평군,7554.0,7550.0,8800.0,7452.0,7590.0,7795.0,7570.0,7449.0,7438.0,6886.0,7288.0,7508.0
고양시,174090.0,173745.0,157485.0,171535.0,166111.0,176821.0,158904.0,139002.0,144703.0,165154.0,171708.0,149815.0
과천시,12035.0,11230.0,10328.0,10181.0,9925.0,10037.0,10957.0,8304.0,9496.0,7869.0,15066.0,21901.0
광명시,87001.0,68937.0,52314.0,47076.0,46176.0,44735.0,41712.0,43201.0,45172.0,38523.0,46812.0,38155.0
광주시,47093.0,54174.0,47598.0,47866.0,48207.0,52978.0,53804.0,56822.0,58486.0,50192.0,54712.0,56359.0
구리시,32709.0,31512.0,27887.0,26991.0,25654.0,28009.0,34966.0,31572.0,32065.0,23107.0,29851.0,24380.0
군포시,57140.0,43004.0,39775.0,37389.0,44952.0,38538.0,35230.0,31552.0,34479.0,35183.0,37273.0,31293.0
김포시,46621.0,54518.0,70391.0,67509.0,73961.0,57271.0,58788.0,80188.0,84845.0,63503.0,111331.0,72655.0
남양주시,117456.0,90397.0,100136.0,95333.0,96997.0,95266.0,81347.0,73470.0,95555.0,96451.0,93021.0,105754.0
동두천시,20437.0,17225.0,17907.0,15920.0,16052.0,16300.0,16074.0,13422.0,13118.0,11891.0,13345.0,14191.0
부천시,136267.0,140599.0,124199.0,119427.0,117954.0,123425.0,125460.0,114426.0,113508.0,88659.0,95110.0,83726.0
성남시,182500.0,171589.0,155354.0,162734.0,150240.0,152980.0,174390.0,157557.0,136911.0,126568.0,152795.0,143716.0
수원시,184402.0,202035.0,200113.0,195500.0,196453.0,189637.0,172210.0,177059.0,187806.0,173336.0,168204.0,183258.0
시흥시,66949.0,63480.0,57034.0,55348.0,53651.0,61075.0,56984.0,69581.0,87150.0,85404.0,98504.0,73957.0
안산시,121052.0,119858.0,105760.0,101514.0,98715.0,103260.0,93537.0,78735.0,85590.0,86724.0,117075.0,88573.0
안성시,32683.0,28500.0,27119.0,24496.0,23402.0,22766.0,29465.0,22616.0,28572.0,25597.0,27891.0,28351.0
안양시,99331.0,91534.0,96964.0,83335.0,81727.0,85267.0,96112.0,84779.0,73467.0,72368.0,79982.0,87149.0
양주시,45134.0,33273.0,30149.0,25478.0,31799.0,30113.0,26149.0,33540.0,32293.0,33309.0,38466.0,34428.0
양평군,16920.0,17001.0,16597.0,15283.0,15226.0,16430.0,17398.0,17776.0,15759.0,15538.0,16798.0,17933.0
여주시,15144.0,13951.0,13535.0,13287.0,16212.0,15048.0,14642.0,14162.0,13429.0,13171.0,14113.0,14527.0
연천군,5668.0,5279.0,6287.0,5546.0,5210.0,6011.0,6135.0,5361.0,5093.0,4840.0,5231.0,4992.0
오산시,52285.0,41302.0,33373.0,33296.0,30527.0,28913.0,27623.0,32136.0,38577.0,37051.0,34691.0,30911.0
용인시,178743.0,164017.0,157560.0,159125.0,159271.0,159061.0,148258.0,142704.0,177079.0,163901.0,167745.0,156128.0
의왕시,27726.0,25252.0,25204.0,26882.0,20485.0,20642.0,19970.0,18850.0,16536.0,29540.0,29486.0,20685.0
의정부시,65756.0,65206.0,61489.0,65548.0,63021.0,66820.0,65844.0,66965.0,66382.0,64399.0,78645.0,64152.0
이천시,35781.0,31540.0,30133.0,28617.0,28254.0,28326.0,33122.0,30655.0,28630.0,31401.0,31253.0,37284.0
파주시,81782.0,82072.0,73676.0,64913.0,67889.0,69427.0,60355.0,59087.0,72642.0,55949.0,75882.0,79477.0
평택시,67915.0,73419.0,72433.0,72028.0,68508.0,77256.0,75179.0,76783.0,87850.0,93713.0,103098.0,115345.0
포천시,25045.0,22547.0,21195.0,19625.0,20193.0,19329.0,18181.0,18547.0,18647.0,16391.0,17883.0,20818.0
하남시,24274.0,24167.0,21424.0,19826.0,26015.0,45243.0,77934.0,52288.0,60225.0,55899.0,63586.0,75433.0
화성시,101327.0,93509.0,82743.0,76374.0,81398.0,144301.0,120293.0,129735.0,170212.0,168445.0,155727.0,153361.0
