"시군별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군별(1)",평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,평균,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별,이용상황별
"시군별(1)",소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타,소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타,소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타,소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타,소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타,소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타,소계,주거,상업,공업,녹지,농림,자연환경보전,보전관리,생산관리,계획관리,전,답,주거용 대지,상업용 대지,임야,공장,기타
"합계",0.912,1.089,0.354,1.292,0.771,-0.399,-0.148,0.041,0.288,1.543,0.986,0.210,0.807,0.737,0.344,1.308,-0.916,1.236,1.579,0.421,1.755,0.974,-0.601,-0.108,0.560,0.862,1.699,1.296,0.350,1.116,1.059,0.666,1.135,1.756,1.733,1.944,1.057,2.082,1.535,1.097,0.143,0.943,1.348,2.032,1.856,1.493,1.865,1.631,1.180,1.642,2.989,2.231,2.539,1.352,1.843,1.931,2.349,0.297,1.454,1.643,2.517,2.318,2.273,2.746,1.893,1.472,2.000,0.630,3.450,3.655,2.837,3.085,3.242,3.152,2.245,2.217,2.530,3.730,3.453,3.579,3.434,3.339,2.651,3.093,1.189,4.421,4.463,3.825,2.755,4.026,3.605,4.834,5.118,6.446,6.245,4.743,5.023,4.574,4.107,3.988,3.704,3.158,4.291,4.506,3.662,3.416,4.371,4.076,2.129,2.560,3.378,4.414,4.434,4.360,4.304,4.115,3.132,4.059,1.033
"수원시",0.522,0.576,0.962,0.603,-0.239,-,-,-,-,-,-1.134,-0.071,-0.679,1.765,0.359,3.811,-,1.238,1.252,0.610,0.932,1.876,-,-,-,-,-,3.175,2.362,1.716,1.284,0.411,0.269,-,1.431,1.595,0.961,1.291,1.125,-,-,-,-,-,1.484,0.855,1.295,1.500,0.315,0.145,-,1.835,1.873,1.527,2.334,1.763,-,-,-,-,-,2.277,2.609,2.682,1.673,1.883,2.256,-,3.067,3.103,2.363,3.437,2.516,-,-,-,-,-,2.967,4.755,3.288,2.779,1.452,5.060,-,3.493,3.780,3.034,3.092,2.393,-,-,-,-,-,2.587,3.741,4.094,3.513,1.339,2.466,-,3.964,4.132,4.202,3.980,2.588,-,-,-,-,-,2.673,3.151,4.068,3.989,2.804,2.973,-
"성남시",1.361,2.021,0.481,0.753,0.217,-,-,-,-,-,0.315,0.347,1.158,1.067,0.267,0.674,-,0.837,1.147,0.420,0.438,0.289,-,-,-,-,-,0.415,-,0.585,0.843,0.341,0.527,-,1.348,1.812,0.687,-0.311,0.589,-,-,-,-,-,0.713,-,1.783,1.031,0.421,-0.309,-,2.496,3.183,1.098,0.367,1.915,-,-,-,-,-,1.754,-,3.630,1.669,1.684,0.367,-,3.385,3.784,2.365,1.735,3.337,-,-,-,-,-,3.058,4.630,3.822,3.371,3.729,1.735,-,5.651,5.705,4.919,2.817,6.822,-,-,-,-,-,6.520,0.000,5.521,5.390,5.303,2.817,-,5.036,5.315,3.979,4.620,5.394,-,-,-,-,-,5.518,0.000,4.983,4.912,5.018,4.620,-
"안양시",1.015,1.248,1.547,-0.443,0.477,-,-,-,-,-,0.474,0.084,1.515,0.949,0.362,-0.445,-,1.245,0.976,1.800,2.238,0.715,-,-,-,-,-,0.777,0.000,0.752,1.515,0.448,1.789,-,1.917,2.031,2.582,0.843,1.320,-,-,-,-,-,-0.407,9.262,1.964,2.050,2.388,0.658,-,2.646,3.149,1.358,2.486,1.261,-,-,-,-,-,2.237,2.029,3.905,0.934,2.841,2.353,-,3.322,3.721,2.787,2.766,1.943,-,-,-,-,-,1.566,1.326,3.495,3.126,2.798,2.677,-,4.244,4.602,4.148,3.412,1.842,-,-,-,-,-,2.802,0.972,4.733,4.102,1.612,3.341,-,4.379,4.593,5.346,3.340,2.195,-,-,-,-,-,2.237,2.843,4.375,4.934,2.866,3.273,-
"부천시",1.382,1.798,0.190,1.149,0.371,-,-,-,-,-,0.589,-0.060,1.326,0.790,1.670,1.170,-,1.516,2.054,-0.389,1.613,0.142,-,-,-,-,-,0.422,-0.372,1.573,0.502,-0.188,2.202,-,1.899,2.291,0.102,3.286,-0.179,-,-,-,-,-,0.845,-0.615,2.490,0.504,1.790,3.368,-,1.304,1.729,-0.063,0.679,1.074,-,-,-,-,-,0.295,4.667,1.741,0.849,0.254,0.069,-,3.387,3.679,2.851,3.237,1.844,-,-,-,-,-,1.923,3.083,3.580,3.110,1.289,3.566,-,3.582,3.990,2.784,2.923,2.374,-,-,-,-,-,2.590,3.100,4.131,2.957,1.657,3.082,-,4.379,4.655,3.280,3.632,5.180,-,-,-,-,-,3.764,10.188,4.509,4.044,3.165,3.730,-
"광명시",1.103,1.266,0.512,-,0.999,-,-,-,-,-,0.701,0.170,1.593,0.966,0.452,-0.083,-,1.141,1.166,1.098,0.000,1.053,-,-,-,-,-,1.405,1.398,1.049,1.042,0.679,0.909,-,2.107,2.160,2.057,0.443,1.933,-,-,-,-,-,2.172,2.733,2.469,1.774,1.926,0.152,-,2.263,2.380,2.293,-,1.581,-,-,-,-,-,2.225,0.974,2.171,2.560,3.499,1.748,-,3.562,3.738,2.399,-,4.062,-,-,-,-,-,4.771,9.211,4.077,2.220,2.194,5.276,-,4.959,5.412,3.368,-,4.682,-,-,-,-,-,5.438,3.965,5.236,4.324,4.695,3.597,-,5.447,5.740,4.608,-,5.049,-,-,-,-,-,5.116,5.818,5.698,5.685,3.988,4.667,-
"평택시",0.938,1.119,0.421,0.353,0.634,0.694,-0.486,-0.409,-0.528,2.605,1.740,0.198,1.438,0.406,-0.407,1.449,-,1.298,1.641,1.080,0.138,1.488,0.910,-0.389,1.181,0.181,2.051,0.836,0.900,1.590,1.397,1.721,0.952,-,2.920,2.191,2.135,1.258,3.684,3.454,1.032,2.290,4.167,4.501,4.155,3.275,2.796,2.209,3.051,1.378,-,4.223,3.388,3.397,2.390,4.436,6.003,0.854,4.019,3.676,5.829,5.154,4.754,4.174,3.623,4.873,2.236,-,7.547,8.453,8.182,4.697,6.546,7.389,2.043,2.111,5.464,8.026,7.744,6.785,7.933,7.609,5.160,3.612,-,5.695,5.076,6.233,5.385,5.531,5.087,6.550,6.071,6.618,2.604,6.483,6.538,5.064,5.585,5.254,5.761,-,5.034,4.237,4.056,3.767,5.255,6.649,2.986,4.834,6.066,6.138,6.169,6.040,4.216,4.306,5.042,4.141,-
