"시군별(1)",2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"시군별(1)",평균,용도지역별,용도지역별,용도지역별,평균,용도지역별,용도지역별,용도지역별,평균,용도지역별,용도지역별,용도지역별,평균,용도지역별,용도지역별,용도지역별,평균,용도지역별,용도지역별,용도지역별,평균,용도지역별,용도지역별,용도지역별,평균,용도지역별,용도지역별,용도지역별
"시군별(1)",소계,주거,상업,공업,소계,주거,상업,공업,소계,주거,상업,공업,소계,주거,상업,공업,소계,주거,상업,공업,소계,주거,상업,공업,소계,주거,상업,공업
"합계",0.912,1.089,0.354,1.292,1.236,1.579,0.421,1.755,1.733,1.944,1.057,2.082,2.231,2.539,1.352,1.843,3.450,3.655,2.837,3.085,4.421,4.463,3.825,2.755,4.291,4.506,3.662,3.416
"수원시",0.522,0.576,0.962,0.603,1.238,1.252,0.610,0.932,1.431,1.595,0.961,1.291,1.835,1.873,1.527,2.334,3.067,3.103,2.363,3.437,3.493,3.780,3.034,3.092,3.964,4.132,4.202,3.980
"성남시",1.361,2.021,0.481,0.753,0.837,1.147,0.420,0.438,1.348,1.812,0.687,-0.311,2.496,3.183,1.098,0.367,3.385,3.784,2.365,1.735,5.651,5.705,4.919,2.817,5.036,5.315,3.979,4.620
"안양시",1.015,1.248,1.547,-0.443,1.245,0.976,1.800,2.238,1.917,2.031,2.582,0.843,2.646,3.149,1.358,2.486,3.322,3.721,2.787,2.766,4.244,4.602,4.148,3.412,4.379,4.593,5.346,3.340
"부천시",1.382,1.798,0.190,1.149,1.516,2.054,-0.389,1.613,1.899,2.291,0.102,3.286,1.304,1.729,-0.063,0.679,3.387,3.679,2.851,3.237,3.582,3.990,2.784,2.923,4.379,4.655,3.280,3.632
"광명시",1.103,1.266,0.512,-,1.141,1.166,1.098,0.000,2.107,2.160,2.057,0.443,2.263,2.380,2.293,-,3.562,3.738,2.399,-,4.959,5.412,3.368,-,5.447,5.740,4.608,-
"평택시",0.938,1.119,0.421,0.353,1.298,1.641,1.080,0.138,2.920,2.191,2.135,1.258,4.223,3.388,3.397,2.390,7.547,8.453,8.182,4.697,5.695,5.076,6.233,5.385,5.034,4.237,4.056,3.767
"안산시",1.074,0.549,-0.198,2.539,1.529,1.217,0.300,3.573,1.680,1.529,0.972,2.920,2.314,3.010,1.295,2.375,3.080,3.225,2.624,3.191,2.673,3.225,2.113,2.159,3.696,3.907,2.951,3.576
"과천시",0.826,-0.150,-,-,2.095,1.738,0.000,-,1.932,2.050,1.406,-,1.912,2.165,0.212,-,3.275,3.376,3.481,-,5.581,5.882,2.167,-,6.316,6.145,3.337,-
"오산시",1.093,0.748,0.439,2.391,1.624,1.587,0.865,0.446,1.547,1.813,1.432,1.539,1.792,1.949,2.104,2.646,2.711,2.428,2.306,1.077,2.877,2.594,2.706,2.867,3.144,3.096,2.832,4.309
"시흥시",1.188,1.379,-1.221,2.368,1.437,1.705,-0.938,3.311,1.321,0.558,0.108,4.542,2.325,3.022,1.209,1.774,3.345,3.475,1.605,3.917,3.464,4.197,3.454,0.977,3.974,4.329,3.046,3.855
"군포시",0.936,0.637,0.404,2.199,1.214,1.222,0.729,1.578,1.665,2.095,0.305,1.002,2.522,2.653,2.458,2.569,3.349,3.222,4.075,3.812,3.199,3.184,3.661,3.456,3.729,3.900,3.370,3.039
"의왕시",0.991,0.424,0.401,2.143,2.002,2.606,0.666,1.240,2.481,2.135,-0.352,2.225,3.168,3.409,1.450,1.491,4.173,4.317,3.336,2.791,4.145,4.622,4.070,2.261,4.178,4.450,3.884,3.712
"하남시",3.778,4.024,0.073,-,4.001,4.354,1.366,-,3.555,3.486,2.638,-,3.161,3.114,2.645,-,3.885,3.828,2.402,2.202,5.263,5.522,3.710,4.116,6.904,7.165,4.119,4.517
"용인시",1.158,1.373,0.442,0.512,1.069,1.319,0.525,0.331,1.512,1.739,1.039,0.956,1.846,1.969,0.799,1.223,2.238,2.100,1.708,1.446,3.527,3.573,2.790,1.734,5.253,4.643,3.068,2.465
"이천시",1.140,0.795,0.359,0.410,1.687,1.697,0.795,1.290,1.969,1.693,0.877,2.363,2.388,2.901,1.614,1.940,2.757,3.141,2.263,1.189,3.138,2.993,2.702,3.241,3.677,3.934,3.323,5.100
"안성시",0.830,1.196,0.279,3.887,1.414,1.493,0.761,0.736,2.254,2.614,1.564,2.711,2.256,3.654,2.517,1.634,3.252,3.777,3.342,1.545,2.895,2.235,1.492,1.732,3.067,2.172,1.740,2.387
"김포시",0.265,0.551,-0.407,0.092,0.352,1.462,-0.387,0.471,1.352,1.981,1.392,0.847,1.418,1.640,1.836,0.815,3.377,2.869,1.463,1.132,5.142,4.578,6.043,2.405,4.154,4.211,5.808,3.923
"화성시",1.350,1.330,0.105,1.607,1.296,2.096,-0.877,0.789,1.861,2.362,0.456,0.797,2.371,3.599,1.217,1.955,4.092,5.141,4.240,2.694,3.992,4.264,5.276,3.376,3.875,3.888,3.299,2.248
"광주시",1.126,0.337,-0.179,0.533,1.222,0.650,0.257,0.217,1.377,1.572,0.989,0.832,2.175,2.297,1.062,1.634,3.377,3.783,1.749,1.361,4.345,4.160,3.777,1.256,3.921,4.273,3.916,2.514
"여주시",1.186,1.103,0.101,2.879,1.908,1.893,0.020,1.724,1.770,1.925,0.627,2.248,2.248,2.771,0.182,1.844,3.231,3.319,1.339,5.386,3.489,2.833,2.773,5.049,2.954,3.369,5.096,1.693
"양평군",0.705,0.236,-0.439,-,0.837,0.011,-0.020,-,1.108,1.640,-0.434,-,1.815,2.227,1.065,-,3.579,4.178,1.392,-,3.410,2.934,3.416,-,3.151,3.643,3.879,-
"의정부시",0.381,0.344,0.221,0.318,1.158,1.232,0.660,0.067,1.162,1.239,1.412,0.515,1.839,1.876,2.099,0.822,2.438,2.409,4.024,1.503,3.196,3.369,4.003,1.238,3.250,3.391,3.866,0.737
"동두천시",0.055,0.173,-0.497,0.148,0.273,0.300,0.433,0.003,0.848,1.125,0.638,0.284,1.262,1.466,1.209,0.519,1.660,2.445,1.378,0.529,2.376,2.742,2.514,1.450,2.635,3.485,3.068,1.056
"고양시",0.332,1.136,0.172,-,0.957,2.437,0.299,-,1.679,2.265,0.544,-,2.253,2.510,1.179,-,3.619,3.824,2.882,-,5.219,5.219,2.055,-,4.167,4.131,2.202,-
"구리시",0.651,0.453,-0.687,-,1.457,1.487,0.784,-,2.741,2.915,2.102,-,2.359,2.588,1.342,-,3.257,3.542,2.513,-,5.734,6.391,6.297,-,4.149,4.689,4.675,-
"남양주시",0.766,0.556,0.046,0.239,1.739,1.663,0.475,0.081,3.134,2.947,1.420,1.554,3.180,2.769,1.298,1.831,3.963,4.150,3.311,2.724,3.757,3.994,2.404,1.029,5.431,5.371,4.459,0.986
"파주시",0.014,-0.394,0.569,-0.643,1.252,1.647,-0.546,0.841,0.863,0.787,2.971,0.972,1.167,1.500,0.714,0.922,2.807,3.205,1.575,1.874,9.533,6.347,2.933,3.153,2.861,2.392,1.141,1.721
"양주시",0.248,-0.430,-0.411,0.301,0.536,0.407,0.136,0.613,1.040,1.162,0.613,0.701,1.710,2.226,1.148,0.440,2.025,2.130,1.159,1.522,3.121,3.074,1.834,2.450,3.194,3.247,3.666,3.989
"포천시",0.091,-2.331,-2.270,-2.240,0.400,0.268,-0.017,-0.210,0.894,1.414,0.648,1.372,1.607,1.435,1.502,1.412,2.171,2.406,1.313,1.306,2.798,2.529,1.943,1.960,2.990,3.164,1.795,1.295
"연천군",0.199,-0.631,0.508,-0.076,0.271,1.512,-0.461,0.327,0.725,1.302,0.460,0.750,1.106,1.639,0.998,1.024,1.501,2.044,2.231,0.661,6.144,5.028,4.263,2.123,2.698,3.060,1.976,2.209
"가평군",0.316,0.363,0.109,-,0.756,0.937,0.227,0.000,0.836,0.724,0.510,0.935,1.410,2.111,0.767,-,2.303,2.898,1.495,-,2.922,3.549,2.553,-,2.856,2.858,1.789,-
