"행정구역(시군구)별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"수원시",1077535,1088489,1120258,1148157,1174228,1184624,1194041,1202628,1201166,1194465,1186078,1183714
"성남시",980190,979323,978615,979534,974608,971424,974580,967510,954347,942724,940064,930948
"의정부시",431801,430400,429147,430976,431112,433937,438457,441584,447026,451868,461710,463661
"안양시",621714,615642,611412,607877,600809,597789,597414,587764,576831,567044,550027,547178
"부천시",875204,872452,869944,863720,855586,848987,851380,850329,843768,829996,818383,806067
"광명시",343982,355226,355560,353100,348560,344978,339484,332790,326841,316552,298599,292893
"평택시",419457,426886,434305,442034,449555,460532,470832,481530,495642,513027,537307,564288
"동두천시",95653,96253,97175,97557,97595,97974,98277,97071,96226,94768,94353,93592
"안산시",714891,715586,715108,713666,707876,697885,689859,677710,660343,650918,654915,652726
"고양시",950115,961239,969916,990571,1006154,1027546,1039684,1041983,1044189,1066351,1079216,1079353
"과천시",72279,71955,71068,70578,70156,68946,63778,57527,58142,58289,63231,73345
"구리시",196398,194881,192341,189680,186820,186721,193763,200042,203553,199265,197454,191948
"남양주시",564141,578485,599539,618305,636256,653454,662154,665321,681828,701830,713321,733798
"오산시",182516,193892,200291,205460,208565,206828,208656,213437,220070,226379,229725,229983
"시흥시",403797,401149,399485,396765,394639,398256,402888,419664,448687,473682,500895,512030
"군포시",287833,287294,286841,286344,288408,287519,284890,281205,276916,275852,273791,268535
"의왕시",147443,149607,154757,159772,158482,157740,156763,155767,153932,161153,163795,163356
"하남시",150479,148397,146269,145096,148896,166713,211101,232487,254415,272455,293452,320087
"용인시",876550,896044,915959,941477,961026,975746,991126,1004081,1035126,1059609,1074176,1077508
"파주시",355632,378790,394201,401718,411348,423321,430781,437848,451848,454040,465617,483245
"이천시",202595,204566,204917,205479,205014,204935,210359,213142,214206,215834,218388,223177
"안성시",177937,180743,181608,182173,181896,180199,182896,182786,183579,183405,187012,189534
"김포시",238339,256994,287432,312305,340310,349990,363443,392092,423170,437221,473970,486508
"화성시",505838,516765,525490,530251,540862,596525,640890,691086,758722,815396,855248,887015
"광주시",249789,265222,275656,286699,298858,312579,327723,345947,363782,372654,382054,387289
"양주시",196706,200360,200310,199143,202072,205184,205513,212146,216951,222314,230359,236368
"포천시",158658,157967,157559,156603,155798,155192,154763,152925,150676,148379,147274,148939
"여주시",-,-,-,109343,110386,111033,111563,111984,111525,111083,111897,112150
"여주군",109250,109120,109550,-,-,-,-,-,-,-,-,-
"연천군",45177,44900,45599,45610,45363,45725,45907,45431,44633,43824,43516,42721
"가평군",58890,59358,60794,61017,61213,62008,62448,62973,62918,62415,62377,62264
"양평군",95833,99430,102193,103620,105379,108316,111367,115105,116095,116874,118810,121230
