"시군별(1)",시군별(2),2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시군별(1)",시군별(2),합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인전문병원,노인전문병원,노인전문병원,노인전문병원,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인전문병원,노인전문병원,노인전문병원,노인전문병원,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인전문병원,노인전문병원,노인전문병원,노인전문병원,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,합계,합계,합계,합계,합계,합계,합계,합계,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양시설,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정,노인요양공동생활가정
"시군별(1)",시군별(2),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명),시설수 (개),입소정원 (명),입소현원 (명),입소현원 (명),입소현원 (명),종사자수 (명),종사자수 (명),종사자수 (명)
"시군별(1)",시군별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,남자,여자,소계,남자,여자
"합계",소계,1108,35978,29279,16507,675,27835,22623,12646,403,3388,2639,1929,30,4755,4017,1932,1112,30773,26254,15705,631,26637,22850,13197,481,4136,3404,2508,...,...,...,...,1258,34844,29978,17489,740,30387,26129,14888,518,4457,3849,2601,...,...,...,...,1343,36989,31935,7443,24492,20046,2647,17399,707,31463,27069,6479,20590,16723,2208,14515,636,5526,4866,964,3902,3323,439,2884,1453,41443,35481,7951,27530,23150,2810,20340,793,35708,30323,7035,23288,19413,2327,17086,660,5735,5158,916,4242,3737,483,3254,1519,44801,38488,8904,29584,25442,2913,22529,872,39135,33590,7981,25609,21733,2434,19299,647,5666,4898,923,3975,3709,479,3230,1586,47978,41791,9504,32287,27758,3037,24721,953,42306,36857,8614,28243,24039,2636,21403,633,5672,4934,890,4044,3719,401,3318,1656,50989,44947,10282,34665,31228,4106,27122,1027,45477,40140,9427,30713,27259,3434,23825,629,5512,4807,855,3952,3969,672,3297,1681,52145,48748,11328,37420,33537,4432,29105,1092,47266,44036,10540,33496,29613,3730,25883,589,4879,4712,788,3924,3924,702,3222,1824,53863,53055,12715,40340,35488,4771,30717,1193,48975,48292,11812,36480,31577,4087,27490,631,4888,4763,903,3860,3911,684,3227,1925,64754,54501,13734,40767,36497,4043,32454,1312,59539,49934,12874,37060,32927,3572,29355,613,5215,4567,860,3707,3570,471,3099
"남부",소계,706,24908,20441,11581,444,18986,15571,8831,238,1971,1532,1112,24,3951,3338,1638,754,21598,18670,11119,451,18980,16490,9517,303,2618,2180,1602,...,...,...,...,797,23067,19869,11814,475,20295,17511,10182,322,2772,2358,1632,...,...,...,...,844,24294,21211,4659,16552,13523,1516,12007,442,20780,18088,4026,14062,11388,1252,10136,402,3514,3123,633,2490,2135,264,1871,904,26480,23048,5009,18039,15158,1788,13370,488,22846,19846,4445,15401,12816,1494,11322,416,3634,3202,564,2638,2342,294,2048,932,28138,24597,5446,19151,16263,1772,14491,529,24589,21433,4846,16587,13913,1494,12419,403,3549,3164,600,2564,2350,278,2072,968,29948,26609,5682,20927,17560,1786,15774,569,26322,23435,5114,18321,15218,1554,13664,399,3626,3174,568,2606,2342,232,2110,995,31158,28059,6027,22032,19454,2384,17070,611,27785,25074,5504,19570,17027,1984,15043,384,3373,2985,523,2462,2427,400,2027,986,32184,29593,6294,23299,20334,2431,17903,628,29004,26639,5817,20822,17891,2005,15886,358,3180,2954,477,2477,2443,426,2017,1060,32959,31680,6705,24975,21671,2705,18966,677,29941,28710,6171,22539,19248,2296,16952,383,3018,2970,534,2436,2423,409,2014,1111,37454,31983,6791,25192,21849,2177,19672,745,34336,29231,6304,22927,19699,1895,17804,366,3118,2752,487,2265,2150,282,1868
"남부",수원시,67,2470,2071,1437,54,2204,1851,1294,11,90,76,66,2,176,144,77,64,2169,2000,1153,52,2066,1911,1089,12,103,89,64,...,...,...,...,67,2208,1992,1273,54,2097,1912,1200,13,111,80,73,...,...,...,...,65,2301,2094,489,1605,1350,154,1196,45,2136,1945,467,1478,1220,143,1077,20,165,149,22,127,130,11,119,76,2808,2362,528,1834,1562,248,1314,51,2595,2175,504,1671,1417,235,1182,25,213,187,24,163,145,13,132,76,2826,2577,621,1956,1684,149,1535,51,2613,2386,600,1786,1539,138,1401,25,213,191,21,170,145,11,134,73,2898,2658,591,2067,1738,138,1600,51,2710,2491,568,1923,1602,127,1475,22,188,167,23,144,136,11,125,75,3014,2881,625,2256,1926,230,1696,53,2825,2695,595,2100,1783,213,1570,22,189,186,30,156,143,17,126,74,3082,2969,668,2301,2019,186,1833,53,2902,2800,636,2164,1878,166,1712,21,180,169,32,137,141,20,121,80,3303,3047,720,2327,2094,190,1904,56,3096,2870,685,2185,1959,173,1786,24,207,177,35,142,135,17,118,85,3544,3105,686,2419,2170,151,2019,63,3355,2923,662,2261,2034,142,1892,22,189,182,24,158,136,9,127
"남부",성남시,60,2212,1732,1360,32,1520,1069,872,27,234,229,116,1,458,434,372,54,1461,1304,829,24,1201,1065,673,30,260,239,156,...,...,...,...,53,1676,1454,873,24,1423,1222,719,29,253,232,154,...,...,...,...,54,2137,1747,378,1369,1286,78,1208,22,1851,1469,323,1146,1075,63,1012,32,286,278,55,223,211,15,196,54,2137,1939,415,1524,1270,64,1206,22,1851,1673,365,1308,1090,53,1037,32,286,266,50,216,180,11,169,55,2067,1912,397,1515,1243,67,1176,24,1790,1651,344,1307,1048,56,992,31,277,261,53,208,195,11,184,53,2007,1885,371,1514,1216,73,1143,25,1756,1631,323,1308,1052,58,994,28,251,254,48,206,164,15,149,50,1999,1858,371,1487,1275,117,1158,29,1811,1682,345,1337,1125,97,1028,21,188,176,26,150,150,20,130,48,1850,1753,315,1438,1192,90,1102,28,1671,1574,300,1274,1051,68,983,20,179,179,15,164,141,22,119,51,1956,1793,335,1458,1226,116,1110,31,1777,1618,319,1299,1089,95,994,20,179,175,16,159,137,21,116,46,1931,1722,311,1411,1202,73,1129,31,1805,1601,296,1305,1114,68,1046,15,126,121,15,106,88,5,83
"남부",안양시,19,843,764,345,18,834,756,340,1,9,8,5,-,-,-,-,22,892,820,428,18,856,792,406,4,36,28,22,...,...,...,...,22,865,807,432,17,820,763,401,5,45,44,31,...,...,...,...,30,1010,933,194,739,578,57,521,17,893,820,158,662,504,48,456,13,117,113,36,77,74,9,65,30,1071,1037,204,833,680,60,620,19,972,949,187,762,615,51,564,11,99,88,17,71,65,9,56,39,1183,1121,223,898,760,66,694,20,1012,979,191,788,644,47,597,19,171,142,32,110,116,19,97,39,1264,1173,271,902,775,52,723,21,1102,1032,249,783,672,42,630,18,162,141,22,119,103,10,93,41,1344,1286,228,1058,883,85,798,23,1182,1140,209,931,771,65,706,18,162,146,19,127,112,20,92,42,1544,1454,258,1196,982,92,890,26,1400,1314,243,1071,867,73,794,16,144,140,15,125,115,19,96,44,1590,1515,286,1229,1025,149,876,26,1429,1371,268,1103,908,129,779,18,161,144,18,126,117,20,97,45,1746,1498,279,1219,1062,117,945,29,1602,1377,258,1119,941,72,869,16,144,121,21,100,121,45,76
"남부",부천시,79,2714,2464,1269,50,1869,1709,917,26,201,159,154,3,644,596,198,94,2325,2068,1127,56,1991,1766,926,38,334,302,201,...,...,...,...,99,2311,2072,1154,56,1931,1732,943,43,380,340,211,...,...,...,...,104,2153,1978,387,1591,1227,98,1129,41,1591,1479,292,1187,893,67,826,63,562,499,95,404,334,31,303,113,2406,2152,392,1760,1387,109,1278,51,1862,1658,315,1343,1038,77,961,62,544,494,77,417,349,32,317,120,2785,2386,459,1927,1550,121,1429,59,2238,1879,376,1503,1195,82,1113,61,547,507,83,424,355,39,316,130,3070,2761,561,2200,1852,125,1727,70,2531,2308,482,1826,1520,98,1422,60,539,453,79,374,332,27,305,133,3247,2994,581,2413,2077,243,1834,76,2734,2528,499,2029,1693,161,1532,57,513,466,82,384,384,82,302,125,3077,2911,544,2367,1982,218,1764,73,2609,2473,470,2003,1627,156,1471,52,468,438,74,364,355,62,293,135,3589,3264,642,2622,2219,241,1978,80,3094,2806,548,2258,1842,172,1670,55,495,458,94,364,377,69,308,133,3643,3173,631,2542,2116,180,1936,82,3211,2781,552,2229,1830,151,1679,51,432,392,79,313,286,29,257
