"시군별(1)",시군별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시군별(1)",시군별(2),합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반,합계,합계,합계,국민기초생활보장 수급권자,국민기초생활보장 수급권자,국민기초생활보장 수급권자,저소득노인,저소득노인,저소득노인,일반,일반,일반
"시군별(1)",시군별(2),계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상,계,65~79세,80세 이상
"합계",소계,320595,243840,76755,47421,32856,14565,30061,20072,9989,243113,190912,52201,282210,209253,72957,47283,30152,17131,16515,10383,6132,218412,168718,49694,301509,207879,93630,50285,32022,18263,15089,8494,6595,236135,167363,68772,317698,223429,94269,57045,39500,17545,17292,10109,7183,243361,173820,69541,338205,223996,114209,56881,37752,19129,20292,11369,8923,261032,174875,86157,378779,265445,113334,61592,39739,21853,21322,11857,9465,295865,213849,82016,435458,297868,137590,75281,45198,30083,23428,12316,11112,336749,240354,96395,446375,302018,144357,84316,50294,34022,25430,11734,13696,336629,239990,96639
"남부",소계,221134,166033,55101,30745,21435,9310,20452,13576,6876,169937,131022,38915,190718,139213,51505,30332,18500,11832,11165,6821,4344,149221,113892,35329,205432,140192,65240,32006,20061,11945,10933,5903,5030,162493,114228,48265,218146,149965,68181,34801,23953,10848,11611,6596,5015,171734,119416,52318,234953,156548,78405,39339,26825,12514,12435,6781,5654,183179,122942,60237,263527,183208,80319,41749,26950,14799,13464,7234,6230,208314,149024,59290,307134,202410,104724,52779,30694,22085,14888,7244,7644,239467,164472,74995,311095,215271,95824,63602,37481,26121,16653,7146,9507,230840,170644,60196
"남부",수원시,24096,19410,4686,4494,3234,1260,1296,861,435,18306,15315,2991,20613,15258,5355,3646,1267,2379,1092,720,372,15875,13271,2604,23212,17722,5490,5163,3690,1473,1294,777,517,16755,13255,3500,24578,17680,6898,6500,4910,1590,1886,1112,774,16192,11658,4534,26711,19248,7463,5614,4239,1375,1391,821,570,19706,14188,5518,34656,24058,10598,4719,3148,1571,1303,687,616,28634,20223,8411,35993,25138,10855,5216,3372,1844,1397,696,701,29380,21070,8310,40959,29592,11367,6168,3953,2215,1603,876,727,33188,24763,8425
"남부",성남시,25061,18430,6631,3349,2383,966,1535,957,578,20177,15090,5087,24031,18117,5914,3774,2613,1161,1547,977,570,18710,14527,4183,25222,7274,17948,3982,1571,2411,1401,560,841,19839,5143,14696,26370,17625,8745,4549,2968,1581,1478,873,605,20343,13784,6559,27527,8526,19001,6556,4101,2455,1649,937,712,19322,3488,15834,29045,21229,7816,6824,4491,2333,1297,578,719,20924,16160,4764,30962,12496,18466,6140,4460,1680,1601,796,805,23221,7240,15981,33115,24138,8977,7655,4036,3619,1492,667,825,23968,19435,4533
"남부",안양시,14299,10848,3451,1751,1208,543,130,75,55,12418,9565,2853,12570,9580,2990,1821,1144,677,577,299,278,10172,8137,2035,12823,10147,2676,1802,1309,493,690,415,275,10331,8423,1908,12942,10298,2644,1812,1323,489,699,421,278,10431,8554,1877,13445,9795,3650,1606,1213,393,707,395,312,11132,8187,2945,14204,9445,4759,1788,1130,658,746,385,361,11670,7930,3740,17552,12468,5084,1801,1150,651,761,307,454,14990,11011,3979,19150,13674,5476,2284,1467,817,732,381,351,16134,11826,4308
"남부",부천시,20403,15264,5139,2947,2210,737,4339,3297,1042,13117,9757,3360,18282,13429,4853,1519,541,978,279,17,262,16484,12871,3613,18282,13429,4853,1519,541,978,279,17,262,16484,12871,3613,19606,8020,11586,603,386,217,93,62,31,18910,7572,11338,21143,15240,5903,1758,1387,371,347,114,233,19038,13739,5299,22791,15172,7619,2158,1518,640,452,240,212,20181,13414,6767,24665,17316,7349,1291,743,548,1190,611,579,22184,15962,6222,26742,19018,7724,7072,4506,2566,1909,961,948,17761,13551,4210
"남부",광명시,7048,5360,1688,1151,810,341,416,270,146,5481,4280,1201,7724,5830,1894,1613,1150,463,490,352,138,5621,4328,1293,8085,6536,1549,1374,936,438,540,324,216,6171,5276,895,8489,6908,1581,1337,923,414,538,329,209,6614,5656,958,8957,7028,1929,1930,1347,583,714,420,294,6313,5261,1052,9263,7318,1945,1683,1330,353,431,340,91,7149,5648,1501,12911,9006,3905,1279,509,770,700,400,300,10932,8097,2835,9604,7299,2305,2487,1668,819,332,154,178,6785,5477,1308
"남부",평택시,12519,9362,3157,1872,1410,462,1703,1244,459,8944,6708,2236,13001,9235,3766,1955,1241,714,716,491,225,10330,7503,2827,14394,10445,3949,1867,1371,496,303,199,104,12224,8875,3349,14367,9972,4395,2223,1554,669,737,417,320,11407,8001,3406,14695,10806,3889,2370,1569,801,905,482,423,11420,8755,2665,15716,11358,4358,2821,1940,881,964,493,471,11931,8925,3006,16199,11332,4867,2889,1862,1027,1235,615,620,12075,8855,3220,19216,13996,5220,3339,2265,1074,1136,573,563,14741,11158,3583
"남부",안산시,15359,11774,3585,3197,2250,947,1287,891,396,10875,8633,2242,14619,10937,3682,3543,2293,1250,1081,684,397,9995,7960,2035,14292,10924,3368,3106,2063,1043,1108,667,441,10078,8194,1884,15018,10484,4534,3042,2231,811,1147,673,474,10829,7580,3249,16538,11913,4625,3547,2337,1210,1508,861,647,11483,8715,2768,17146,12254,4892,3670,2385,1285,1560,936,624,11916,8933,2983,18261,5914,12347,7823,2589,5234,1703,890,813,8735,2435,6300,19853,6649,13204,6415,3802,2613,1824,252,1572,11614,2595,9019
"남부",과천시,1331,929,402,187,135,52,61,36,25,1083,758,325,1690,1181,509,275,159,116,44,20,24,1371,1002,369,1752,1194,558,160,122,38,57,28,29,1535,1044,491,1672,1091,581,246,146,100,79,39,40,1347,906,441,1484,1024,460,271,166,105,84,46,38,1129,812,317,1511,1030,481,137,68,69,19,10,9,1355,952,403,1547,1065,482,246,126,120,76,41,35,1225,898,327,2253,1503,750,379,220,159,81,41,40,1793,1242,551
"남부",오산시,3431,2791,640,515,336,179,238,175,63,2678,2280,398,3304,2659,645,748,607,141,209,117,92,2347,1935,412,3199,2581,618,519,380,139,159,113,46,2521,2088,433,3396,2699,697,554,394,160,231,144,87,2611,2161,450,4112,3223,889,619,454,165,249,163,86,3244,2606,638,4323,3339,984,760,550,210,243,149,94,3320,2640,680,4829,3756,1073,876,621,255,241,142,99,3712,2993,719,5724,4362,1362,1323,859,464,317,179,138,4084,3324,760
"남부",시흥시,6571,3499,3072,198,150,48,3936,2204,1732,2437,1145,1292,2560,1744,816,944,646,298,271,184,87,1345,914,431,7150,4793,2357,944,646,298,271,184,87,5935,3963,1972,7579,4983,2596,1924,1415,509,184,104,80,5471,3464,2007,8051,5881,2170,2044,1552,492,194,119,75,5813,4210,1603,11022,9975,1047,1458,879,579,233,62,171,9331,9034,297,10407,7929,2478,1770,1008,762,548,262,286,8089,6659,1430,11850,8392,3458,2143,1181,962,621,272,349,9086,6939,2147
"남부",군포시,6483,4584,1899,871,383,488,172,109,63,5440,4092,1348,6960,5261,1699,1310,915,395,194,121,73,5456,4225,1231,5866,3906,1960,1186,801,385,407,208,199,4273,2897,1376,6413,4349,2064,984,663,321,361,182,179,5068,3504,1564,6201,4421,1780,1069,700,369,449,222,227,4683,3499,1184,7366,2062,5304,1395,908,487,425,193,232,5546,961,4585,8384,5875,2509,852,591,261,269,122,147,7263,5162,2101,8687,6166,2521,1739,1001,738,460,199,261,6488,4966,1522
"남부",의왕시,3138,2401,737,377,262,115,47,28,19,2714,2111,603,3809,2822,987,477,321,156,279,212,67,3053,2289,764,309,125,184,67,34,33,39,11,28,203,80,123,3553,2298,1255,620,403,217,406,252,154,2527,1643,884,3668,1039,2629,642,219,423,419,149,270,2607,671,1936,3761,2704,1057,1227,474,753,323,140,183,2211,2090,121,22445,16772,5673,1358,679,679,264,110,154,20823,15983,4840,3146,2229,917,814,436,378,300,126,174,2032,1667,365
"남부",하남시,3576,2790,786,264,139,125,214,133,81,3098,2518,580,4673,1369,3304,579,370,209,327,205,122,3767,794,2973,4305,1253,3052,516,348,168,268,166,102,3521,739,2782,4973,3449,1524,640,462,178,296,161,135,4037,2826,1211,5378,3727,1651,688,495,193,317,171,146,4373,3061,1312,8719,6717,2002,1365,845,520,470,244,226,6884,5628,1256,9815,7514,2301,1947,1305,642,448,216,232,7420,5993,1427,8477,6866,1611,2419,1651,768,597,308,289,5461,4907,554
"남부",용인시,15646,12589,3057,1221,822,399,680,441,239,13745,11326,2419,16404,12806,3598,1286,867,419,815,493,322,14303,11446,2857,21176,16307,4869,2364,1552,812,835,503,332,17977,14252,3725,18995,14227,4768,1819,1143,676,928,520,408,16248,12564,3684,20541,13605,6936,1599,996,603,538,311,227,18404,12298,6106,21967,11846,10121,2421,1041,1380,1047,579,468,18499,10226,8273,23976,14300,9676,9642,6045,3597,1060,742,318,13274,7513,5761,26889,18017,8872,6277,3679,2598,1257,208,1049,19355,14130,5225
"남부",이천시,22584,17991,4593,931,612,319,812,461,351,20841,16918,3923,4314,3186,1128,1073,692,381,943,546,397,2298,1948,350,4323,3269,1054,952,614,338,755,437,318,2616,2218,398,5957,4392,1565,903,590,313,320,164,156,4734,3638,1096,6453,4676,1777,880,574,306,285,131,154,5288,3971,1317,6865,4668,2197,921,553,368,320,148,172,5624,3967,1657,7239,5208,2031,1134,654,480,375,165,210,5730,4389,1341,8056,5810,2246,1205,680,525,357,142,215,6494,4988,1506
