"시군별(1)",시군별(2),2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시군별(1)",시군별(2),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),어린이집수 (개),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명),보육아동수 (명)
"시군별(1)",시군별(2),합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,민간,민간,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정,합계,합계,합계,국공립,사회복지법인,민간,법인·단체등,협동,직장,가정
"시군별(1)",시군별(2),소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,남,여,소계,소계,소계,개인,법인·단체등,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,소계,소계,소계,소계,소계,소계
"합계",소계,11273,464,73,3771,3641,130,33,95,6837,320977,30658,5672,179067,170864,8203,787,5707,99086,11825,502,72,3883,3756,127,39,105,7224,344326,32811,5384,191459,183220,8239,928,6604,107140,12870,522,71,4012,3881,131,50,124,8091,392515,34939,5450,211414,202806,8608,1136,7855,131721,13364,546,72,4169,4035,134,54,136,8387,397721,-,-,36142,5387,216934,208046,8888,1258,8772,129228,13259,575,70,4076,137,64,151,8186,402945,...,...,37445,5017,212369,8766,1452,9407,128489,12689,595,68,4005,139,66,170,7646,389398,...,...,39052,4724,205330,8526,1547,10556,119663,12120,625,67,3911,132,65,224,7096,390870,…,…,41245,4719,207684,8250,1564,12615,114793,11825,660,66,3854,128,67,242,6808,394882,203844,191038,42710,4633,209843,8184,1731,14098,113683,11682,745,67,3801,124,69,259,6617,393149,203265,189884,46461,4373,208017,7743,1747,15087,109721,11270,931,66,3633,116,67,268,6189,386714,200164,186550,56373,4192,200027,7147,1683,15761,101531,10761,1086,64,3431,112,67,284,5717,358813,185917,172896,63480,3806,180182,6233,1578,16029,87505
"남부",소계,7822,335,55,2743,2645,98,26,78,4585,230134,23318,4473,129810,123442,6368,622,4789,67122,8238,363,55,2819,2723,96,31,86,4884,247786,25014,4326,138893,132481,6412,749,5641,73163,9092,380,54,2931,2831,100,39,100,5588,284603,26611,4369,154000,147229,6771,902,6644,92077,9524,399,55,3056,2956,100,44,110,5860,291974,-,-,27842,4306,159113,152250,6863,1036,7400,92277,9501,416,53,2987,100,52,118,5775,296538,...,...,28423,4035,156007,6759,1220,7784,92310,9148,431,51,2935,102,53,127,5449,286463,...,...,29515,3822,150309,6582,1252,8436,86547,8786,451,51,2880,97,52,168,5087,289459,…,…,31182,3836,153569,6305,1259,9946,83362,8647,477,50,2854,95,54,179,4938,294091,151763,142328,32164,3786,156348,6352,1331,10997,83113,8585,539,50,2820,92,56,189,4839,293834,151759,142075,35053,3531,155182,5994,1357,11727,80990,8357,676,49,2715,85,54,197,4581,291999,150997,141002,42283,3385,150838,5650,1305,12396,76142,7997,796,49,2563,84,54,212,4239,270149,139803,130346,47672,3154,135144,4933,1231,12681,65334
"남부",수원시,1001,21,4,351,343,8,1,12,612,25591,1579,269,14414,13976,438,23,1036,8270,1072,28,4,356,349,7,1,14,669,27603,1825,251,15121,14738,383,23,1082,9301,1254,30,4,373,366,7,3,16,828,33786,1940,265,17002,16612,390,51,1337,13191,1284,30,4,382,374,8,3,14,851,34010,-,-,2035,250,17183,16674,509,56,1430,13056,1311,32,4,381,8,5,17,864,35404,...,...,2189,228,17295,489,87,1612,13504,1266,35,4,379,8,4,17,819,34457,...,...,2501,233,16789,484,71,1765,12614,1187,37,4,367,8,4,21,746,34454,…,…,2727,240,16894,485,74,1957,12077,1153,38,4,364,8,4,23,712,34588,17901,16687,2724,240,16956,514,77,2166,11911,1135,51,4,353,7,4,23,693,33819,17534,16285,3344,231,16211,487,73,2227,11246,1062,57,4,334,7,5,25,630,32358,16828,15530,3788,211,15329,477,85,2255,10213,982,57,4,309,7,4,27,574,28552,14816,13736,3685,212,13331,450,71,2233,8570
"남부",성남시,646,43,1,222,215,7,4,18,358,19636,3900,74,9433,8699,734,78,1003,5148,659,46,1,220,213,7,4,19,369,20566,4219,74,9655,8889,766,86,1114,5418,716,47,1,215,208,7,5,22,426,22850,4399,70,9915,9153,762,95,1293,7078,777,50,1,222,215,7,5,24,475,23871,-,-,4574,72,10021,9260,761,105,1476,7623,761,55,1,212,8,5,26,454,23958,...,...,4831,68,8987,822,132,1624,7494,729,57,1,205,8,5,30,423,22951,...,...,4880,68,8280,775,137,1874,6937,719,61,1,196,8,5,42,406,23623,…,…,5166,70,8260,739,131,2394,6863,692,64,1,184,8,6,43,386,23893,12301,11592,5421,84,7970,714,207,2756,6741,657,64,1,172,10,6,45,359,22916,11847,11069,5485,78,7317,744,208,2893,6191,610,69,1,156,10,6,50,318,22095,11358,10737,5677,75,6623,763,209,3351,5397,580,76,1,145,9,6,55,288,20409,10460,9949,5838,81,5579,553,197,3520,4641
"남부",안양시,488,25,1,152,150,2,2,4,304,13180,1836,104,6810,6719,91,36,124,4270,509,27,1,150,149,1,2,4,325,14191,1973,106,7191,7138,53,56,144,4721,560,30,1,155,154,1,2,5,367,16381,2142,103,7928,7876,52,54,208,5946,603,31,1,159,158,1,2,5,405,16842,-,-,2223,102,8000,7946,54,54,221,6242,588,32,1,155,1,1,5,393,16715,...,...,2160,103,8153,46,41,216,5996,540,34,1,144,1,1,5,354,16132,...,...,2201,101,7943,45,43,267,5532,516,34,1,132,1,1,8,339,16155,…,…,2333,102,7862,49,44,358,5407,494,33,1,126,1,2,7,324,15845,8059,7786,2310,103,7563,50,60,368,5391,472,33,1,122,1,2,8,305,15107,7719,7388,2239,103,7234,48,61,366,5056,446,33,1,117,1,3,8,283,14404,7415,6989,2190,103,6978,47,64,394,4628,421,35,1,111,1,3,9,261,12804,6568,6236,2231,98,6211,27,64,412,3761
"남부",부천시,602,27,4,290,275,15,3,6,272,18436,1660,280,11991,11050,941,77,264,4164,602,28,4,288,273,15,4,7,271,19917,1720,266,13303,12358,945,87,290,4251,616,28,4,286,271,15,6,8,284,21421,1706,268,14129,13163,966,118,365,4835,628,29,4,286,271,15,3,9,297,21449,-,-,1705,264,14050,13085,965,95,389,4946,635,29,4,266,15,3,9,309,21314,...,...,1700,251,12786,977,90,378,5132,617,29,3,256,15,3,8,303,20397,...,...,1670,194,12049,973,86,326,5099,604,31,3,247,14,3,11,295,20588,…,…,1753,197,12164,967,78,349,5080,597,33,3,241,14,3,11,292,20495,10578,9917,1928,200,11809,975,78,394,5111,605,41,3,237,14,4,10,296,20357,10481,9876,2173,192,11455,915,92,484,5046,579,44,3,220,13,4,9,286,19562,10081,9481,2342,195,10705,859,92,482,4887,559,50,3,209,12,5,10,270,17386,9050,8336,2463,166,9263,729,109,525,4131
