"산업별(1)",2017,2018,2019
"산업별(1)",합계,합계,합계
"산업별(1)",사업체수 (개),사업체수 (개),사업체수 (개)
"전산업",878275,909032,934349
"농업, 임업 및 어업",457,522,558
"광업",101,94,92
"제조업",130282,132785,133317
"전기, 가스, 증기 및 공기조절 공급업",246,276,367
"수도, 하수 및 폐기물 처리, 원료 재생업",2138,2255,2285
"건설업",28854,30361,31261
"도매 및 소매업",204601,209233,212226
"운수 및 창고업",85870,90679,94190
"숙박 및 음식점업",149870,154477,160465
"정보통신업",6751,7117,7750
"금융 및 보험업",7118,7208,7213
"부동산업",38130,41103,43792
"전문, 과학 및 기술 서비스업",19552,21528,23241
"사업시설 관리, 사업 지원 및 임대 서비스업",13708,14535,15159
"공공행정, 국방 및 사회보장 행정",1842,1863,1880
"교육 서비스업",43757,45488,46798
"보건업 및 사회복지 서비스업",33888,34409,35199
"예술, 스포츠 및 여가관련 서비스업",27508,28561,29701
"협회 및 단체, 수리 및 기타 개인 서비스업",83602,86538,88855
