"산업별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"산업별(1)",합계,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
"산업별(1)",사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개)
"전산업",934349,74015,66333,26642,45375,61147,18577,37539,6662,54200,69687,3697,14826,39232,13167,43361,17973,9204,16598,55828,32368,16790,15884,34269,66767,28195,18597,18994,9287,3841,6932,8362
"농업, 임업 및 어업",558,6,7,1,2,0,0,55,1,14,23,3,1,19,2,6,2,2,4,34,23,62,89,23,39,26,7,34,28,23,2,20
"광업",92,0,0,2,3,0,0,6,0,4,0,0,0,5,0,0,0,0,0,10,5,0,4,1,13,1,5,17,6,6,4,0
"제조업",133317,3858,4163,1292,3878,10229,1680,3846,504,9105,5891,76,787,5673,879,11991,3037,1095,1566,4482,6075,1956,2806,9668,19544,6443,4319,6159,1155,394,334,432
"전기, 가스, 증기 및 공기조절 공급업",367,15,68,7,14,6,3,18,7,16,26,1,2,12,3,8,5,2,5,20,12,8,6,15,27,13,16,10,2,5,8,7
"수도, 하수 및 폐기물 처리, 원료 재생업",2285,85,76,26,60,57,26,144,30,159,117,14,22,68,35,98,42,26,32,104,80,54,77,144,318,58,91,124,34,37,22,25
"건설업",31261,2510,2148,735,1897,1850,592,1353,212,1859,2408,137,457,1379,422,1123,616,345,648,1760,990,607,566,879,2137,1039,669,563,360,219,319,462
"도매 및 소매업",212226,16891,16123,6243,11551,13411,4706,8373,1447,11482,18411,1338,4152,9606,2683,9504,3367,1876,5529,12455,6868,3728,3238,7015,12466,6266,4044,3716,2148,777,1173,1639
"운수 및 창고업",94190,7587,6253,2745,4544,5883,2336,3934,762,6513,7011,292,1838,3381,2068,4351,2089,1473,1471,6078,3329,1771,1682,2651,5517,3508,1703,1443,889,256,265,567
"숙박 및 음식점업",160465,14390,11429,5465,7079,10108,2924,7842,1522,9422,10686,525,2626,6706,2714,6251,2753,1351,2319,9566,5636,3294,3066,4685,9574,3865,2901,3364,1923,928,3085,2466
"정보통신업",7750,645,1744,126,861,468,96,101,21,217,925,43,62,125,42,124,138,106,160,552,424,60,36,149,254,62,37,47,25,15,35,50
"금융 및 보험업",7213,841,715,337,553,597,133,307,51,506,594,34,162,173,83,181,97,42,76,370,170,131,100,178,322,96,72,93,65,36,41,57
"부동산업",43792,3778,3690,1200,2220,2665,936,1984,232,1972,3325,227,627,1911,502,1612,800,493,892,3805,1369,677,480,1849,3222,1083,735,340,315,138,203,510
"전문, 과학 및 기술 서비스업",23241,2539,2749,721,2191,1378,320,729,77,1200,1969,136,326,696,209,613,476,254,358,1665,564,324,264,548,1381,507,256,255,166,57,135,178
"사업시설 관리, 사업 지원 및 임대 서비스업",15159,1514,1191,354,763,874,233,799,87,977,1330,58,209,516,344,485,285,123,286,880,468,390,329,476,871,369,288,239,192,55,72,102
"공공행정, 국방 및 사회보장 행정",1880,144,126,62,74,84,44,88,30,90,108,32,30,56,24,54,28,27,33,99,66,66,60,50,85,43,41,60,59,37,30,50
"교육 서비스업",46798,4551,4137,1532,2439,2703,1202,1557,271,2031,4385,237,781,2139,654,1530,1077,461,708,4147,1364,794,613,1530,2995,935,650,365,333,121,183,373
"보건업 및 사회복지 서비스업",35199,3298,2893,1376,1639,2214,869,1247,318,1693,2675,154,619,1764,605,1208,783,390,662,2525,1137,563,543,1092,2032,835,634,428,335,149,192,327
"예술, 스포츠 및 여가관련 서비스업",29701,2857,2226,1041,1377,2115,532,1211,203,1898,2432,87,482,1215,528,1249,572,281,432,1877,1018,544,489,829,1580,745,497,405,310,140,266,263
"협회 및 단체, 수리 및 기타 개인 서비스업",88855,8506,6595,3377,4230,6505,1945,3945,887,5042,7371,303,1643,3788,1370,2973,1806,857,1417,5399,2770,1761,1436,2487,4390,2301,1632,1332,942,448,563,834
