구분별(2),15-19세,20-29세,30-39세,40-49세,50-59세,60세이상
소계,7.2,14.7,17.1,20.1,19.3,21.6
수원시,6.9,17.8,18.1,20,19,18.2
성남시,6.9,15.2,17,19.4,18.9,22.6
의정부시,6.4,15.6,15.2,18.9,19.9,24
안양시,8,14.7,16.3,18.5,20.4,22.1
부천시,6.3,15.7,16.7,18.2,20.7,22.3
광명시,6.9,14.5,16.7,20.1,19.1,22.7
평택시,7.8,14.4,17.5,20.5,19,20.8
동두천시,5.6,13.6,13,18,19.6,30.3
안산시,7.1,18.2,15.1,19.6,21.9,18.2
고양시,8.4,14.2,15.2,20.1,20.5,21.6
과천시,7.7,15.1,15.1,18.2,20.4,23.5
구리시,7.7,14.3,16.1,19.4,20.7,21.9
남양주시,7.3,13.4,15.7,21.6,19.1,22.9
오산시,4.7,18,21.5,22.3,17,16.4
시흥시,6.8,16.2,18.4,21.6,20.7,16.4
군포시,6.1,16.2,16.7,19.2,20.2,21.5
의왕시,7.5,14.7,15.6,17.9,21.1,23.2
하남시,6.4,12.2,20.1,21,17.7,22.5
용인시,8,14.1,16.9,22.5,17.5,21
파주시,7.5,13.4,17.9,20.6,18,22.6
이천시,8,14.7,16.6,18.8,18.8,23.1
안성시,7,12.8,15.1,18.7,19.2,27.2
김포시,7.6,11.4,20.1,22.1,17.4,21.4
화성시,7.3,14,23,23.4,16.3,16.1
광주시,6.6,12.8,18.9,20.1,19.2,22.4
양주시,9,11.3,14.7,20.3,19.3,25.4
포천시,6.9,12.4,11.4,16.2,22.4,30.7
여주시,6.2,11.6,12.3,16.5,20.5,32.9
연천군,7.8,10.2,11.7,13,19.1,38.2
가평군,5.8,6.7,14.1,14.5,20.7,38.2
양평군,6.3,7.9,11.9,15.7,20.2,38
