"행정구역(시군구)별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"부산광역시",3567910,3550963,3538484,3527635,3519401,3513777,3498529,3470653,3441453,3413841,3391946,3350380
"중구",49442,48686,48148,47345,46737,45816,45208,44218,42795,41910,41523,40524
"서구",126040,123718,120828,118783,118115,115963,112973,110039,110534,108229,108135,105164
"동구",101514,100420,98529,96011,94565,92069,89826,88868,86912,88165,88901,87679
"영도구",146798,143205,139765,135816,132102,129385,126362,123521,120109,116711,113342,110638
"부산진구",395826,395044,392731,389765,387378,381572,376526,371703,362357,357880,359886,353159
"동래구",282779,283742,278767,276689,275971,272837,272745,270727,266515,271247,270745,266866
"남구",298458,295121,291175,291770,286989,283101,278779,273854,279917,274480,267731,262069
"북구",312218,307988,312937,309719,306974,310484,310202,302924,296952,291132,283952,283211
"해운대구",426729,425618,428188,425536,423531,422818,419853,412039,409347,406102,402169,396438
"사하구",358730,355443,352726,349110,343371,337781,334603,333301,327791,321004,311757,306003
"금정구",255419,254720,255692,253526,249856,246026,244624,244469,242956,239062,232666,228049
"강서구",62594,64733,65806,69873,79619,94608,108909,117382,122957,129566,137957,142918
"연제구",212696,213326,211536,209290,208012,210718,207268,206742,207840,209395,209157,207144
"수영구",178267,176691,176666,175098,178480,179795,179324,179996,176246,176148,176894,175095
"사상구",257843,254413,250424,246797,242953,237711,232800,229219,223361,218094,212586,208298
"기장군",102557,108095,114566,132507,144748,153093,158527,161651,164864,164716,174545,177125
