"행정구역(시군구)별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"종로구",170578,168382,165207,160070,156993,154986,152737,154770,153065,151290,149384,144683
"중구",132822,133193,133360,130465,128065,125733,125249,125709,125725,126171,125240,122499
"용산구",244853,246501,243232,239740,235951,233342,230241,229161,228999,228670,230040,222953
"성동구",309093,300711,299604,299337,296086,297003,299259,304808,308221,300889,293556,285990
"광진구",375463,371936,371313,368927,363354,360369,357215,357703,355559,351350,346682,339996
"동대문구",366786,365486,363258,364273,363687,360153,355069,350647,348052,346194,342837,337400
"중랑구",427455,423706,419295,416798,418836,413909,411005,408226,403209,397015,394702,387350
"성북구",488932,485171,481857,476589,466706,459275,450355,444055,435868,442650,437153,430528
"강북구",346520,345054,343157,338707,335025,330873,327195,324479,319164,313954,308055,299182
"도봉구",368298,365573,362270,358582,353709,351242,348220,344166,339413,333362,325257,317366
"노원구",611230,603930,597189,590479,582552,574583,567581,554403,543752,532905,523037,510956
"은평구",488109,493634,501480,503660,498644,497920,491476,486794,483197,480032,479835,473307
"서대문구",324541,314852,315113,314110,310376,312141,314194,312800,310313,309397,312173,304819
"마포구",391865,389493,384644,381856,385439,387643,379892,374915,375077,374035,371890,368905
"양천구",500001,500210,495911,492528,486221,484532,477739,471154,464185,458165,454251,447302
"강서구",574127,569072,567431,569070,585160,589074,595485,601691,596949,591796,580185,574315
"구로구",423736,427468,427520,424964,425831,422092,417551,410742,404497,406664,404408,396754
"금천구",245195,243438,243288,241020,238463,236284,235386,235154,233917,232810,231733,230811
"영등포구",406833,397443,391408,386471,382352,378504,370613,368550,367778,367678,379480,376837
"동작구",402709,401408,405491,410815,407470,400641,400997,396217,396203,395963,391220,385483
"관악구",531434,526397,523029,518028,513186,509663,506851,503297,501957,500094,495060,485699
"서초구",434720,433564,435044,441763,449678,446764,447192,441102,433951,430826,425126,412279
"강남구",570095,565710,564197,563599,578114,576495,567115,556164,542364,545169,539231,533042
"송파구",685279,682209,673115,668415,664738,660302,657831,664496,666635,675961,667960,658338
"강동구",491871,495138,487905,483379,476597,458658,444168,436223,427573,436067,459970,462664
