"전출지별","전입지별",2022.02,2022.03,2022.04,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"전출지별","전입지별",이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명)
"전국","전국",664152,587154,482543,8226594,8127195,7506691,7411784,7629098,7755286,7378430,7154226,7297099,7104398,7735491,7213422
"전국","서울특별시",142156,122917,95228,1733015,1721748,1555281,1520090,1573594,1589431,1515602,1472937,1439707,1426493,1578127,1418187
"전국","부산광역시",44855,33217,27600,519334,508043,461042,478451,485710,507031,459015,439073,416095,411704,491829,441323
"전국","대구광역시",27106,26616,22179,370817,370563,348642,351873,350213,351424,328228,321182,321158,312419,347248,304761
"전국","인천광역시",38363,35413,30449,462051,499567,468666,461613,452297,473223,441646,409465,433639,420014,444556,433137
"전국","광주광역시",18406,18246,13529,268574,260561,228612,226696,243066,224603,213176,208138,218892,217130,226163,212888
"전국","대전광역시",22275,19200,15139,262432,264244,239635,230858,239559,220774,219252,211449,212879,212424,232321,211565
"전국","울산광역시",11693,10116,8760,161146,164963,161433,159492,176015,170393,148190,135199,127922,142056,136112,129880
"전국","세종특별자치시",8610,5826,4874,-,-,32784,23805,56526,83994,65052,82073,86433,82398,78934,76912
"전국","경기도",162769,147430,126702,2168820,2062422,1944962,1895434,1891775,1993080,1958593,1888324,2041715,1940962,2152572,2036215
"전국","강원도",21403,19075,16251,241738,236077,225896,217917,228369,227125,223484,211653,216398,217626,223354,217103
"전국","충청북도",19541,18547,14661,235671,228594,212263,215973,215944,214626,202679,197177,218886,211396,229895,214300
"전국","충청남도",28340,24976,20594,317853,321187,287195,281428,289627,289952,286764,288738,292305,258790,287127,282195
"전국","전라북도",20238,18390,14998,305789,308011,271835,258198,274337,261832,248188,232047,243324,228775,249083,223710
"전국","전라남도",21012,19299,15644,265600,261239,239026,244329,260278,250104,234132,227504,224384,224483,239016,223619
