"행정구역(시군구)별",2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"전국",8226594,8226594,0,3104796,2459505,2459505,2662293,2662293,8127195,8127195,0,3143729,2378953,2378953,2604513,2604513,7506691,7506691,0,2827998,2165953,2165953,2512740,2512740,7411784,7411784,0,2864028,2124327,2124327,2423429,2423429,7629098,7629098,0,2957867,2163435,2163435,2507796,2507796,7755286,7755286,0,3014020,2189842,2189842,2551424,2551424,7378430,7378430,0,2840295,2084793,2084793,2453342,2453342,7154226,7154226,0,2701400,2041896,2041896,2410930,2410930,7297099,7297099,0,2776681,2091234,2091234,2429184,2429184,7104398,7104398,0,2659826,2059624,2059624,2384948,2384948,7735491,7735491,0,2926406,2274971,2274971,2534114,2534114,7213422,7213422,0,2649108,2117080,2117080,2447234,2447234
"서울특별시",1733015,1848038,-115023,520345,679363,679363,533307,648330,1721748,1834806,-113058,543807,671315,671315,506626,619684,1555281,1658928,-103647,473458,595842,595842,485981,589628,1520090,1620640,-100550,468394,584614,584614,467082,567632,1573594,1661425,-87831,495401,602622,602622,475571,563402,1589431,1726687,-137256,524267,605262,605262,459902,597158,1515602,1655859,-140257,487722,574193,574193,453687,593944,1472937,1571423,-98486,454536,564271,564271,454130,552616,1439707,1549937,-110230,430780,548796,548796,460131,570361,1426493,1476081,-49588,406796,543831,543831,475866,525454,1578127,1642977,-64850,444682,623431,623431,510014,574864,1418187,1524430,-106243,387416,569648,569648,461123,567366
"부산광역시",519334,547800,-28466,168131,225399,225399,125804,154270,508043,532906,-24863,167237,209693,209693,131113,155976,461042,481652,-20610,150358,190110,190110,120574,141184,478451,496161,-17710,156335,202017,202017,120099,137809,485710,500802,-15092,154513,198769,198769,132428,147520,507031,520591,-13560,163750,212595,212595,130686,144246,459015,480407,-21392,147728,192793,192793,118494,139886,439073,467471,-28398,139074,182532,182532,117467,145865,416095,442854,-26759,130540,178172,178172,107383,134142,411704,435058,-23354,125676,176434,176434,109594,132948,491829,506176,-14347,155767,214524,214524,121538,135885,441323,460226,-18903,136072,189085,189085,116166,135069
"대구광역시",370817,382657,-11840,138755,135894,135894,96168,108008,370563,383310,-12747,141462,135033,135033,94068,106815,348642,359206,-10564,128630,126031,126031,93981,104545,351873,363224,-11351,132825,125282,125282,93766,105117,350213,365739,-15526,127462,125180,125180,97571,113097,351424,364364,-12940,130786,128399,128399,92239,105179,328228,337488,-9260,113566,127156,127156,87506,96766,321182,333118,-11936,110696,125447,125447,85039,96975,321158,335400,-14242,113477,122144,122144,85537,99779,312419,336092,-23673,112136,119033,119033,81250,104923,347248,364083,-16835,122954,133114,133114,91180,108015,304761,329080,-24319,105699,115986,115986,83076,107395
"인천광역시",462051,458439,3612,160948,143018,143018,158085,154473,499567,470758,28809,169726,155715,155715,174126,145317,468666,440872,27794,156184,141795,141795,170687,142893,461613,439578,22035,159934,137512,137512,164167,142132,452297,442973,9324,162728,132647,132647,156922,147598,473223,463685,9538,174846,139776,139776,158601,149063,441646,435869,5777,161701,129082,129082,150863,145086,409465,411135,-1670,147772,118622,118622,143071,144741,433639,433706,-67,155992,131244,131244,146403,146470,420014,422351,-2337,150091,125990,125990,143933,146270,444556,460304,-15748,163316,134310,134310,146930,162678,433137,421714,11423,150553,126760,126760,155824,144401
"광주광역시",268574,265043,3531,90732,92764,92764,85078,81547,260561,259282,1279,92897,86974,86974,80690,79411,228612,230437,-1825,79574,72996,72996,76042,77867,226696,229288,-2592,82576,72689,72689,71431,74023,243066,246043,-2977,86184,78137,78137,78745,81722,224603,233875,-9272,79293,71484,71484,73826,83098,213176,221074,-7898,77462,68120,68120,67594,75492,208138,216256,-8118,75293,66881,66881,65964,74082,218892,225108,-6216,80537,69166,69166,69189,75405,217130,221005,-3875,75101,74251,74251,67778,71653,226163,232246,-6083,81431,77086,77086,67646,73729,212888,218771,-5883,74956,73211,73211,64721,70604
"대전광역시",262432,263477,-1045,84052,91910,91910,86470,87515,264244,260900,3344,85377,90083,90083,88784,85440,239635,239136,499,71391,80990,80990,87254,86755,230858,230547,311,72406,76387,76387,82065,81754,239559,248397,-8838,73415,83546,83546,82598,91436,220774,241390,-20616,68094,71515,71515,81165,101781,219252,229883,-10631,67638,71238,71238,80376,91007,211449,227624,-16175,64181,67475,67475,79793,95968,212879,227632,-14753,65470,67848,67848,79561,94314,212424,228766,-16342,65817,68178,68178,78429,94771,232321,243418,-11097,73445,77135,77135,81741,92838,211565,220496,-8931,61757,69778,69778,80030,88961
"울산광역시",161146,164671,-3525,56814,56543,56543,47789,51314,164963,163091,1872,60856,53713,53713,50394,48522,161433,157427,4006,59048,50108,50108,52277,48271,159492,157185,2307,58520,48733,48733,52239,49932,176015,173229,2786,61578,60555,60555,53882,51096,170393,170473,-80,57758,58373,58373,54262,54342,148190,155812,-7622,55962,47380,47380,44848,52470,135199,147116,-11917,47645,47144,47144,40410,52327,127922,140576,-12654,44554,44138,44138,39230,51884,142056,152228,-10172,50135,51848,51848,40073,50245,136112,149696,-13584,48931,46706,46706,40475,54059,129880,143554,-13674,45646,44822,44822,39412,53086
