행정구역(시군구)별,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,4224181.0,4192752.0,4177970,4182351,4194176,4189948,4189839,4220082,4263868,4327605,4417954,4426007
부산광역시,1371346.0,1381257.0,1389526,1404663,1421648,1437818,1451270,1467555,1480468,1497908,1530431,1544663
대구광역시,934598.0,940770.0,948652,960265,970618,982360,994220,1006753,1021266,1031251,1056627,1063893
인천광역시,1059664.0,1077563.0,1097491,1118988,1136280,1154004,1171399,1188917,1213201,1238641,1267956,1298647
광주광역시,540875.0,549105.0,555538,563599,573043,580427,586464,592818,603107,616485,633582,645712
대전광역시,555768.0,566324.0,575600,584877,592508,597008,606137,614639,624965,635343,652783,664417
울산광역시,405501.0,412561.0,422177,431595,442250,451688,455352,458547,461756,468659,476893,482650
세종특별자치시,0.0,0.0,46592,50045,62807,81806,94343,109490,123762,135408,144275,153649
경기도,4527282.0,4579405.0,4639665,4712324,4786718,4885012,5003406,5131379,5306214,5468920,5676401,5841995
강원도,639001.0,648649.0,655301,664913,673978,685005,692254,700265,707245,719524,736301,746220
충청북도,617431.0,627006.0,633166,644062,656321,669503,680960,692140,707220,722123,745644,760672
충청남도,854432.0,868768.0,842446,857699,871459,885968,902294,923499,943611,959255,983153,1001915
전라북도,740650.0,754479.0,760189,766699,774562,782986,790084,797916,806235,816191,836660,849001
전라남도,799520.0,805051.0,808682,815769,823667,833901,842688,851376,860303,872628,893152,903108
경상북도,1101486.0,1114901.0,1125195,1139387,1153559,1169648,1180643,1193261,1207351,1227548,1254662,1276846
경상남도,1268731.0,1286678.0,1301439,1320887,1343984,1367142,1385684,1406011,1425271,1450822,1484601,1505971
제주특별자치도,224713.0,227873.0,232141,238465,246516,256928,266972,278203,287104,293155,302033,307529
